video_path,label,dataset,group_id,split,action_labels,license_status
datasets/private/scfd/fight/fi001.mp4,1,scfd,scfd:fi001,train,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi002.mp4,1,scfd,scfd:fi002,val,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi003.mp4,1,scfd,scfd:fi003,train,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi004.mp4,1,scfd,scfd:fi004,val,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi005.mp4,1,scfd,scfd:fi005,train,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi006.mp4,1,scfd,scfd:fi006,train,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi007.mp4,1,scfd,scfd:fi007,train,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi008.mp4,1,scfd,scfd:fi008,val,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi009.mp4,1,scfd,scfd:fi009,train,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi010.mp4,1,scfd,scfd:fi010,train,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi011.mp4,1,scfd,scfd:fi011,train,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi012.mp4,1,scfd,scfd:fi012,test,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi013.mp4,1,scfd,scfd:fi013,train,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi014.mp4,1,scfd,scfd:fi014,train,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi015.mp4,1,scfd,scfd:fi015,test,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi016.mp4,1,scfd,scfd:fi016,train,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi017.mp4,1,scfd,scfd:fi017,train,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi018.mp4,1,scfd,scfd:fi018,val,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi019.mp4,1,scfd,scfd:fi019,val,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi020.mp4,1,scfd,scfd:fi020,test,fight,research-only-third-party-video-rights-unverified
datasets/private/scfd/fight/fi021.mp4,1,scfd,scfd:fi021,train,fight,research-only-third-party-video-rights-unverified
